CODGEO;SURF;NOM;X;Y;EMPLOI99;ACTOCC99;P20ANS99;PNDIP99;TXCHOM99;INTAO99;PART99;PCAD99;PINT99;PEMP99;POUV99;PRET99;PMONO99;PREFETR99;RFUCQ201;EMPLOI06;ACTOCC06;P20ANS07;PNDIP07;TXCHOMA07;INTAO07;PART07;PCAD07;PINT07;PEMP07;POUV07;PRET07;PMONO07;PREFETR07;RFUCQ207;REFEROUI
75101;183;PARIS 1E;6007;24293;60489;8842;14;11;11;1;10;45;19;21;6;15;15;16;24388;59069;9693;16;9;9;0;7;49;21;17;5;14;5;14;29188;72.4
75102;99;PARIS 2E;6004;24298;57608;10331;15;16;13;1;7;39;21;20;12;12;14;28;18943;58147;12002;16;14;11;1;6;47;22;17;8;10;5;21;24287;71.6
75103;117;PARIS 3E;6015;24293;30467;17770;16;13;12;1;8;44;21;19;8;13;15;22;21268;31021;19120;17;11;10;1;6;50;22;16;6;12;6;19;25725;72.4
75104;160;PARIS 4E;6017;24284;41424;15379;14;9;10;1;8;46;20;20;5;16;15;14;23170;43520;15083;16;9;11;1;6;49;23;17;5;16;6;14;27733;71.3
75105;254;PARIS 5E;6008;24274;50070;26922;16;8;9;1;7;52;21;16;4;15;14;11;25474;52941;28826;18;8;9;1;5;54;22;15;4;17;6;11;29855;71.6
75106;215;PARIS 6E;5996;24279;44054;19513;16;8;8;1;9;53;17;17;4;17;13;13;30758;45083;20311;19;9;8;0;7;54;19;16;4;17;6;13;36690;79.4
75107;409;PARIS 7E;5988;24288;73283;24920;17;9;8;1;10;49;16;20;5;17;12;16;31521;72452;26266;18;9;8;0;8;51;18;18;5;18;5;16;39118;80.5
75108;388;PARIS 8E;5985;24300;163165;18569;19;11;9;1;10;43;15;25;6;14;13;20;30133;163030;18951;22;12;8;1;9;48;18;20;5;13;6;17;37435;79.7
75109;218;PARIS 9E;6003;24310;104250;27999;17;11;11;1;8;43;21;22;7;14;14;16;22985;106154;31443;19;11;10;1;6;49;22;17;6;13;6;14;27983;72.1
75110;289;PARIS 10E;6018;24307;77848;43122;19;17;15;1;6;33;24;24;14;12;16;26;16214;81053;47955;20;18;13;1;5;40;23;21;11;11;7;22;19839;62.7
75111;367;PARIS 11E;6035;24290;75502;73009;17;15;14;1;6;35;26;23;10;14;16;21;18202;79376;79875;17;14;12;1;4;42;26;19;8;14;6;18;22084;63
75112;1632;PARIS 12E;6039;24268;113223;66318;17;10;10;1;5;37;27;24;8;18;16;11;21587;123068;71725;18;11;9;1;4;42;26;21;7;18;7;11;24870;64
75113;715;PARIS 13E;6013;24255;101875;80475;19;14;11;1;4;34;25;27;10;16;20;14;18598;112641;87046;19;15;11;1;4;37;26;25;9;16;9;13;20925;59.4
75114;564;PARIS 14E;5993;24258;77685;61777;16;10;9;1;5;43;24;22;6;16;18;12;21766;83751;64532;17;11;9;1;4;46;23;20;6;17;8;12;24931;66.5
75115;848;PARIS 15E;5971;24273;156958;109889;16;8;9;1;5;46;23;20;6;17;15;13;24575;162499;116426;18;9;9;1;4;48;24;19;5;17;6;13;28254;72.1
75116;1637;PARIS 16E;5955;24293;111887;67235;19;10;9;1;11;45;16;22;5;17;13;17;30861;115562;65383;21;11;9;1;8;49;18;19;5;19;6;15;37054;80
75117;567;PARIS 17E;5978;24318;99902;75264;18;12;12;1;7;40;22;23;8;16;16;17;22503;105992;78596;20;13;11;1;6;45;22;20;7;15;7;16;26457;72
75118;601;PARIS 18E;6004;24322;78778;85231;19;18;17;2;6;28;25;28;14;15;19;26;14567;86238;93430;19;19;14;2;4;34;25;25;12;14;8;24;16766;57.8
75119;679;PARIS 19E;6042;24310;74784;74234;24;18;16;1;6;25;25;30;14;14;20;22;13759;84133;81391;25;22;15;1;5;27;26;29;14;14;11;22;15269;53.7
75120;598;PARIS 20E;6042;24299;62784;84204;21;17;15;1;5;26;27;29;13;15;20;20;15459;75250;91535;22;18;14;1;4;31;27;26;12;14;10;18;17256;53
